year,level,course,sex,enrolment_secondary
1997,Secondary 5,Normal (Acad),F,4514
1998,Secondary 1,Express,MF,21506
1998,Secondary 1,Express,F,10706
1998,Secondary 1,Normal (Acad),MF,9665
1998,Secondary 1,Normal (Acad),F,4548
1998,Secondary 1,Normal (Tech),MF,6781
1998,Secondary 1,Normal (Tech),F,2729
1998,Secondary 1,Special,MF,4247
1998,Secondary 1,Special,F,2216
1998,Secondary 2,Express,MF,21287
1998,Secondary 2,Express,F,10686
1998,Secondary 2,Normal (Acad),MF,9857
1998,Secondary 2,Normal (Acad),F,4459
1998,Secondary 2,Normal (Tech),MF,6272
1998,Secondary 2,Normal (Tech),F,2349
1998,Secondary 2,Special,MF,4062
1998,Secondary 2,Special,F,2154
1998,Secondary 3,Express,MF,22111
1998,Secondary 3,Express,F,11033
1998,Secondary 3,Normal (Acad),MF,9900
1998,Secondary 3,Normal (Acad),F,4249
1998,Secondary 3,Normal (Tech),MF,5684
1998,Secondary 3,Normal (Tech),F,2242
1998,Secondary 3,Special,MF,3822
1998,Secondary 3,Special,F,2172
1998,Secondary 4,Express,MF,22183
1998,Secondary 4,Express,F,11164
1998,Secondary 4,Normal (Acad),MF,10723
1998,Secondary 4,Normal (Acad),F,4639
1998,Secondary 4,Normal (Tech),MF,5666
1998,Secondary 4,Normal (Tech),F,2170
1998,Secondary 4,Special,MF,3691
1998,Secondary 4,Special,F,2167
1998,Secondary 5,Normal (Acad),MF,10439
1998,Secondary 5,Normal (Acad),F,4872
1999,Secondary 1,Express,MF,19947
1999,Secondary 1,Express,F,9989
1999,Secondary 1,Normal (Acad),MF,8899
1999,Secondary 1,Normal (Acad),F,4103
1999,Secondary 1,Normal (Tech),MF,6277
1999,Secondary 1,Normal (Tech),F,2566
1999,Secondary 1,Special,MF,3748
1999,Secondary 1,Special,F,1987
1999,Secondary 2,Express,MF,21839
1999,Secondary 2,Express,F,11062
1999,Secondary 2,Normal (Acad),MF,10167
1999,Secondary 2,Normal (Acad),F,4681
1999,Secondary 2,Normal (Tech),MF,6255
1999,Secondary 2,Normal (Tech),F,2511
1999,Secondary 2,Special,MF,4150
1999,Secondary 2,Special,F,2139
1999,Secondary 3,Express,MF,22146
1999,Secondary 3,Express,F,11086
